Revenue,DebtRatio,ReadmissionRate,PatientSatisfaction,Risk
101,0.85,30,51,High
142,0.26,8,69,Safe
64,0.34,30,77,Moderate
121,0.7,12,60,Safe
110,0.82,30,53,High
70,0.83,22,64,Moderate
132,0.44,9,55,Moderate
136,0.85,13,79,Moderate
124,0.82,8,87,Moderate
124,0.9,26,51,High
137,0.77,21,64,Moderate
149,0.67,13,60,Safe
73,0.59,5,57,Moderate
52,0.42,25,75,Moderate
71,0.9,24,94,High
102,0.93,17,93,Moderate
51,0.34,20,54,Moderate
137,0.36,17,55,Moderate
79,0.51,18,75,Safe
87,0.48,7,53,Moderate
51,0.95,10,68,Moderate
113,0.25,22,69,Safe
109,0.12,23,82,Moderate
70,0.52,9,69,Safe
82,0.25,19,61,Safe
125,0.41,29,50,High
107,0.73,6,75,Moderate
71,0.71,14,63,Moderate
138,0.36,28,87,Moderate
98,0.56,22,86,Safe
140,0.53,17,60,Safe
108,0.64,9,85,Safe
91,0.31,27,62,Moderate
141,0.6,28,92,Moderate
109,0.93,5,52,High
129,0.51,26,82,Moderate
64,0.87,5,55,High
111,0.47,22,59,Moderate
111,0.4,19,54,Moderate
96,0.65,21,72,Safe
111,0.67,15,59,Moderate
100,0.83,25,93,High
104,0.3,30,51,High
113,0.52,29,62,Moderate
52,0.59,26,89,Moderate
150,0.75,21,51,High
100,0.14,17,69,Safe
56,0.95,5,50,High
70,0.5,6,86,Safe
122,0.34,13,58,Moderate
88,0.85,7,66,Moderate
67,0.74,5,58,High
53,0.91,25,60,High
138,0.38,20,64,Safe
109,0.57,27,73,Moderate
63,0.59,10,87,Safe
58,0.93,21,84,Moderate
139,0.16,9,79,Safe
102,0.36,9,80,Safe
51,0.26,10,54,Moderate
133,0.33,7,93,Safe
141,0.51,25,63,Moderate
109,0.42,27,60,Moderate
120,0.44,9,58,Moderate
93,0.82,25,83,High
57,0.89,9,61,Moderate
96,0.16,14,84,Safe
84,0.28,14,84,Safe
127,0.67,23,50,High
130,0.4,21,89,Safe
85,0.32,25,71,Moderate
99,0.35,18,78,Safe
53,0.37,13,57,Moderate
51,0.82,18,60,Moderate
55,0.22,5,90,Safe
103,0.7,23,86,Moderate
53,0.57,17,63,Safe
103,0.35,17,79,Safe
142,0.46,8,84,Safe
112,0.32,5,70,Safe
67,0.62,21,86,Safe
139,0.17,12,54,Moderate
93,0.1,6,68,Safe
83,0.63,12,63,Safe
123,0.27,11,75,Safe
111,0.16,30,53,High
149,0.44,30,74,Moderate
63,0.14,6,94,Safe
144,0.85,26,91,High
97,0.12,26,74,Moderate
64,0.59,7,67,Safe
121,0.47,22,89,Safe
127,0.67,16,57,Moderate
136,0.38,5,88,Safe
111,0.23,26,89,Moderate
89,0.93,16,63,Moderate
134,0.81,9,81,Moderate
129,0.83,29,87,High
131,0.31,21,82,Safe
102,0.13,20,72,Safe
73,0.36,19,64,Safe
75,0.56,27,82,Moderate
138,0.38,19,74,Safe
109,0.8,9,66,Moderate
90,0.33,25,82,Moderate
78,0.92,18,51,High
64,0.49,6,63,Safe
94,0.82,15,89,Moderate
114,0.27,23,89,Moderate
138,0.45,11,88,Safe
120,0.69,10,55,Moderate
58,0.22,6,55,Moderate
137,0.21,10,52,Moderate
50,0.92,22,56,High
57,0.71,6,57,High
137,0.13,22,91,Safe
112,0.44,19,64,Safe
60,0.47,23,78,Moderate
130,0.73,6,82,Moderate
57,0.31,24,79,Moderate
84,0.26,29,88,Moderate
84,0.17,10,76,Safe
82,0.46,5,85,Safe
54,0.69,28,78,Moderate
90,0.15,19,87,Safe
77,0.88,27,82,High
56,0.48,14,86,Safe
122,0.3,23,76,Moderate
121,0.18,21,82,Safe
61,0.26,9,53,Moderate
83,0.89,8,71,Moderate
82,0.64,14,51,Moderate
97,0.54,28,59,High
72,0.66,21,54,Moderate
111,0.47,14,59,Moderate
137,0.72,21,82,Moderate
86,0.14,24,87,Moderate
148,0.58,28,62,Moderate
93,0.23,9,80,Safe
135,0.2,6,85,Safe
140,0.39,10,94,Safe
84,0.18,25,73,Moderate
114,0.18,6,64,Safe
148,0.36,17,78,Safe
150,0.93,15,57,High
