RDSpend,RevenueGrowth,TrialSuccess,Recommendation
152,21,0.15,Hold
229,-7,0.76,Buy
142,0,0.59,Sell
64,6,0.74,Sell
156,13,0.97,Buy
121,-6,0.72,Sell
238,23,0.85,Buy
70,-5,0.88,Hold
152,11,0.85,Buy
171,0,0.48,Sell
260,5,0.3,Hold
264,22,0.46,Buy
124,-2,0.9,Hold
252,-5,0.23,Hold
137,5,0.56,Sell
166,18,0.31,Hold
149,-8,0.62,Sell
153,9,0.88,Hold
201,25,0.89,Buy
180,8,0.31,Sell
199,15,0.92,Buy
102,-8,0.63,Sell
51,8,0.42,Sell
137,9,0.74,Sell
285,21,0.53,Buy
207,-4,0.44,Hold
87,22,0.73,Hold
179,7,0.32,Sell
241,-10,0.4,Hold
237,0,0.49,Hold
70,17,0.33,Hold
210,14,0.46,Buy
253,12,0.61,Buy
107,20,0.77,Buy
71,19,0.79,Buy
285,24,0.84,Buy
138,-4,0.77,Hold
98,5,0.71,Sell
268,15,0.31,Buy
108,-9,0.46,Sell
219,-10,0.53,Hold
269,1,0.17,Hold
237,-6,0.58,Hold
257,21,0.49,Buy
64,-2,0.82,Hold
239,24,0.98,Buy
239,8,0.6,Hold
224,5,0.39,Hold
239,-8,0.14,Hold
100,9,0.93,Hold
157,13,0.93,Buy
104,22,0.33,Hold
293,13,0.73,Buy
113,0,0.17,Sell
298,-3,0.25,Hold
180,25,0.3,Hold
278,9,0.37,Hold
100,24,1.0,Buy
184,14,0.73,Hold
70,24,0.45,Hold
122,14,0.76,Buy
216,18,0.92,Buy
67,7,0.96,Hold
181,7,0.15,Sell
138,-9,0.46,Sell
109,24,0.2,Hold
63,5,0.4,Sell
291,25,0.25,Buy
299,22,0.68,Buy
58,-7,0.45,Sell
139,22,0.31,Hold
102,3,0.34,Sell
179,10,0.42,Sell
133,9,0.33,Sell
141,-3,0.51,Sell
160,-4,0.13,Sell
237,-8,0.35,Hold
248,6,0.47,Hold
221,22,0.64,Buy
57,1,0.34,Sell
224,11,0.22,Buy
84,11,0.17,Hold
255,19,0.95,Buy
130,-3,0.47,Sell
213,16,0.62,Buy
99,16,0.93,Buy
153,23,0.17,Hold
181,10,0.89,Hold
51,19,0.6,Hold
183,22,0.25,Hold
103,17,0.47,Hold
155,22,0.8,Buy
53,-6,0.53,Sell
103,8,0.99,Hold
270,-7,0.44,Hold
240,24,0.77,Buy
195,6,0.45,Sell
267,17,0.85,Buy
93,19,0.61,Hold
211,18,0.16,Buy
251,-5,0.13,Hold
239,24,0.22,Buy
277,13,0.11,Buy
63,18,0.17,Hold
144,20,0.72,Hold
97,24,0.58,Hold
64,22,0.77,Buy
249,10,0.92,Buy
255,21,0.63,Buy
264,12,0.75,Buy
298,22,0.78,Buy
239,-8,0.44,Hold
89,7,0.32,Sell
262,14,0.28,Buy
257,20,0.33,Buy
286,-8,0.35,Hold
131,13,0.29,Hold
160,21,0.89,Buy
102,11,0.78,Buy
73,12,0.14,Hold
203,-9,0.34,Hold
266,16,0.12,Buy
237,-9,0.55,Hold
173,15,0.53,Hold
286,6,0.85,Buy
90,22,0.38,Hold
206,-2,0.83,Buy
64,18,0.97,Buy
94,15,0.18,Hold
114,24,0.81,Buy
138,14,0.63,Hold
120,13,0.53,Hold
58,2,0.48,Sell
137,-4,0.81,Hold
178,25,0.68,Hold
285,9,0.82,Buy
185,-10,0.91,Hold
265,-3,0.66,Hold
112,5,0.98,Hold
188,3,0.65,Sell
292,1,0.67,Hold
130,12,0.6,Hold
185,4,0.18,Sell
212,17,0.75,Buy
212,23,0.59,Buy
82,-9,0.51,Sell
172,21,0.92,Buy
54,12,0.37,Hold
283,11,0.57,Buy
280,14,0.73,Buy
299,11,0.82,Buy
90,11,0.51,Hold
77,-5,0.86,Hold
184,4,0.79,Hold
250,22,0.16,Buy
121,-3,0.14,Sell
61,-6,0.66,Sell
211,-7,0.41,Hold
82,-5,0.29,Sell
97,21,0.62,Hold
296,19,0.41,Buy
200,24,0.58,Hold
111,5,0.51,Sell
265,2,0.63,Hold
86,19,0.46,Hold
148,8,0.73,Sell
221,6,0.26,Hold
153,8,0.73,Sell
263,17,0.47,Buy
268,15,0.89,Buy
84,15,0.56,Hold
242,12,0.98,Buy
276,-2,0.64,Hold
150,1,0.3,Sell
224,-10,0.84,Buy
255,-10,0.41,Hold
180,23,0.41,Hold
50,21,0.13,Hold
54,14,0.59,Hold
267,-10,0.58,Hold
296,5,0.42,Hold
191,-6,0.9,Hold
152,11,0.22,Hold
76,18,0.4,Hold
186,-8,0.39,Sell
256,1,0.18,Hold
64,15,0.53,Hold
139,5,0.72,Sell
91,11,0.56,Hold
173,18,0.24,Hold
254,3,0.44,Hold
228,17,0.1,Buy
112,-6,0.88,Hold
145,19,0.18,Hold
280,-6,0.64,Hold
290,1,0.99,Buy
101,5,0.58,Sell
145,15,0.93,Buy
181,15,0.31,Hold
271,10,0.78,Buy
278,25,0.58,Buy
200,22,0.75,Hold
280,19,0.16,Buy
286,12,0.23,Buy
192,-1,0.22,Sell
220,-6,0.72,Hold
78,25,0.86,Buy
85,23,0.77,Buy
62,20,0.13,Hold
209,-1,0.88,Buy
120,8,0.42,Sell
236,21,0.46,Buy
292,-10,0.19,Hold
135,-6,0.76,Hold
77,-7,0.26,Sell
115,5,0.61,Sell
219,13,0.86,Buy
94,5,0.18,Sell
111,-9,0.58,Sell
234,17,0.31,Buy
294,21,0.41,Buy
183,16,0.53,Hold
77,9,0.42,Sell
77,13,0.68,Hold
157,1,0.53,Sell
93,24,0.63,Hold
133,22,0.76,Buy
79,22,0.6,Hold
239,1,0.63,Hold
124,-8,0.61,Sell
177,-10,0.44,Sell
299,22,0.4,Buy
296,-1,0.91,Buy
141,18,0.65,Hold
266,2,0.32,Hold
280,1,0.55,Hold
239,20,0.4,Buy
274,-9,0.94,Buy
178,24,0.11,Hold
170,12,0.3,Hold
76,6,0.43,Sell
239,15,0.54,Buy
170,-3,0.87,Hold
165,18,0.18,Hold
254,15,0.83,Buy
282,-1,0.15,Hold
52,15,0.86,Buy
152,23,0.15,Hold
247,-4,0.12,Hold
249,-7,0.73,Hold
204,0,1.0,Buy
186,18,0.91,Buy
111,25,0.62,Hold
214,14,0.93,Buy
274,10,0.1,Hold
100,25,0.98,Buy
283,-1,0.54,Hold
221,-2,0.75,Hold
201,13,0.84,Buy
256,24,0.75,Buy
108,24,0.58,Hold
167,25,0.53,Hold
209,7,0.85,Buy
145,21,0.28,Hold
265,13,0.97,Buy
282,12,0.74,Buy
229,21,0.28,Buy
162,1,0.76,Hold
111,2,0.58,Sell
290,12,0.74,Buy
235,14,0.79,Buy
101,24,0.18,Hold
61,19,0.56,Hold
88,6,0.94,Hold
179,9,0.39,Sell
180,14,0.63,Hold
162,11,0.43,Hold
150,2,0.51,Sell
162,8,0.59,Sell
233,25,0.59,Buy
130,1,0.28,Sell
236,8,0.72,Hold
162,1,0.18,Sell
51,-2,0.22,Sell
179,-4,0.1,Sell
269,17,0.21,Buy
103,3,0.53,Sell
136,20,0.65,Hold
278,8,0.81,Buy
273,5,0.2,Hold
274,-6,0.87,Buy
178,24,0.77,Buy
196,1,0.47,Sell
175,14,0.94,Buy
179,10,0.99,Hold
102,25,0.28,Hold
221,12,0.44,Buy
267,5,0.93,Buy
209,3,0.75,Hold
247,20,0.14,Buy
